MID,DCID,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10
MT022,DC003,74,44,104,77,67,73,68,81,83,45
MT024,DC003,68,58,73,95,55,66,93,72,90,85
MT027,DC003,48,54,56,70,58,82,45,82,62,43
MT034,DC003,79,71,69,59,41,66,92,49,50,45
MT001,DC004,112,238,133,137,171,198,189,122,140,203
MT004,DC004,154,220,241,216,236,196,105,106,209,142
MT005,DC004,240,138,150,116,97,159,159,193,128,132
MT007,DC004,253,133,173,178,131,188,165,198,176,173
MT008,DC004,155,248,189,112,144,204,169,103,139,190
MT009,DC004,247,195,192,159,199,162,141,250,174,168
MT010,DC004,157,153,200,109,137,98,230,130,199,204
MT011,DC004,105,177,199,106,172,135,178,202,178,130
MT013,DC004,149,216,182,156,112,164,154,115,222,192
MT014,DC004,167,165,127,129,218,124,222,174,129,140
MT016,DC004,195,237,200,185,118,132,252,122,131,178
MT017,DC004,126,169,169,130,155,150,147,129,107,248
MT018,DC004,219,195,117,138,179,169,134,175,124,124
MT019,DC004,118,229,120,176,153,195,229,130,138,126
MT020,DC004,154,199,119,142,145,97,159,236,100,166
MT025,DC004,163,160,229,147,201,174,99,208,108,157
MT026,DC004,187,177,135,132,183,93,167,190,182,129
MT028,DC004,143,122,145,181,169,150,217,154,185,147
MT029,DC004,142,172,116,185,128,171,198,163,177,225
MT030,DC004,92,126,143,170,172,145,171,201,176,203
MT031,DC004,216,142,187,113,134,126,168,158,146,196
MT032,DC004,169,207,98,115,216,196,208,129,184,221
MT033,DC004,195,129,185,169,108,123,152,134,235,164
MT035,DC004,129,174,217,136,148,194,97,143,134,205
MT036,DC004,236,139,148,207,156,154,164,208,155,208
MT021,DC004,436,636,614,791,676,768,645,813,681,668
MT023,DC004,883,497,737,456,380,670,403,674,547,788
MT002,DC004,110,125,106,121,132,70,148,125,113,149
MT003,DC004,88,130,136,108,75,136,145,134,155,100
MT006,DC004,76,135,104,117,136,70,121,133,94,99
MT012,DC004,101,108,118,90,133,89,111,81,120,135
MT015,DC004,118,106,88,152,113,87,65,89,119,91
MT022,DC004,70,146,74,118,120,59,96,107,63,160
MT024,DC004,93,104,132,127,91,113,100,99,91,97
MT027,DC004,72,80,131,155,76,131,154,125,167,84
MT034,DC004,117,135,98,162,117,105,106,68,109,80
MT001,DC005,59,95,58,74,82,127,147,150,102,160
MT004,DC005,123,93,77,106,63,104,166,108,69,158
MT005,DC005,90,73,79,74,65,132,114,131,150,135
MT007,DC005,80,90,88,128,85,97,144,103,91,140
MT008,DC005,143,119,78,90,67,99,123,123,172,55
MT009,DC005,84,108,102,79,132,120,77,106,104,107
MT010,DC005,94,110,108,73,125,88,132,97,84,86
MT011,DC005,164,104,87,125,165,101,106,87,106,88
MT013,DC005,72,55,92,101,97,88,132,100,106,62
MT014,DC005,110,94,130,72,150,132,121,77,123,123
MT016,DC005,87,79,80,119,98,95,77,92,150,98
MT017,DC005,98,94,91,94,120,136,121,118,123,91
MT018,DC005,91,84,90,127,124,104,96,57,66,142
MT019,DC005,68,101,91,115,97,58,164,114,94,71
MT020,DC005,99,66,105,124,92,161,108,103,117,85
MT025,DC005,160,165,135,123,95,96,123,87,104,97
MT026,DC005,169,122,84,98,95,89,113,118,134,81
MT028,DC005,97,128,78,141,124,72,134,146,95,66
MT029,DC005,127,120,134,76,129,69,86,114,79,96
MT030,DC005,137,107,113,94,158,79,99,99,99,100
MT031,DC005,149,97,96,130,97,66,63,92,100,90
MT032,DC005,110,138,70,122,104,107,146,104,74,75
MT033,DC005,81,101,136,73,124,97,111,89,134,89
MT035,DC005,114,78,151,115,168,92,74,134,102,144
MT036,DC005,67,112,92,81,75,58,103,68,124,124
MT021,DC005,195,165,227,422,298,341,320,308,303,355
MT023,DC005,179,318,350,204,454,324,208,344,372,388
MT002,DC005,66,94,50,74,53,87,70,74,57,90
MT003,DC005,47,38,47,55,69,69,75,63,69,58
MT006,DC005,69,84,103,99,49,81,54,78,71,77
MT012,DC005,60,52,55,76,44,60,54,79,53,80
MT015,DC005,71,68,60,73,102,81,80,56,42,53
MT022,DC005,39,80,75,62,75,38,62,84,77,69
MT024,DC005,53,84,47,43,53,84,65,81,59,67
MT027,DC005,63,76,85,89,56,105,71,50,80,73
MT034,DC005,94,109,82,71,69,56,42,54,65,68
MT001,DC006,104,101,129,113,78,188,178,198,114,202
MT004,DC006,168,127,111,116,129,139,166,124,154,106
MT005,DC006,99,162,133,143,122,92,102,94,110,132
MT007,DC006,67,109,183,104,68,93,111,143,84,111
MT008,DC006,136,111,95,155,101,203,169,174,137,132
MT009,DC006,172,175,148,97,183,104,115,161,162,93
MT010,DC006,94,171,129,95,121,111,73,116,123,73
MT011,DC006,131,172,177,151,196,132,133,125,77,140
MT013,DC006,143,170,110,80,78,114,120,132,115,101
MT014,DC006,84,158,119,122,130,192,91,144,127,90
MT016,DC006,94,190,191,111,90,77,82,140,180,157
MT017,DC006,115,171,214,106,126,110,92,208,184,113
MT018,DC006,185,162,178,196,99,202,163,144,109,201
MT019,DC006,109,103,133,87,106,88,87,120,126,168
MT020,DC006,170,161,143,94,170,147,106,103,132,124
MT025,DC006,110,128,100,117,100,103,103,175,188,111
MT026,DC006,168,119,151,142,101,141,115,82,122,82
MT028,DC006,161,102,133,119,74,104,193,125,167,168
MT029,DC006,139,129,95,131,123,86,113,128,166,140
MT030,DC006,114,139,135,74,108,87,88,144,157,177
MT031,DC006,212,103,135,116,158,102,77,124,165,109
MT032,DC006,130,119,99,98,110,124,116,135,113,144
MT033,DC006,113,110,162,171,100,75,93,118,148,109
MT035,DC006,211,107,208,121,112,86,123,172,133,135
MT036,DC006,147,126,91,70,121,144,98,132,199,177
MT021,DC006,304,490,456,410,262,486,458,372,314,393
MT023,DC006,391,215,311,351,346,272,498,445,387,333
MT002,DC006,144,86,77,80,107,100,77,122,87,95
MT003,DC006,77,108,125,77,85,93,57,70,80,116
MT006,DC006,98,116,140,82,78,92,111,124,146,108
MT012,DC006,142,58,107,119,80,99,62,75,114,119
MT015,DC006,78,55,136,137,81,70,70,73,100,138
MT022,DC006,71,107,135,87,106,85,125,106,90,80
MT024,DC006,78,108,143,61,71,65,98,119,122,112
MT027,DC006,81,62,78,102,121,82,95,144,132,90
MT034,DC006,83,123,64,86,84,123,112,114,128,120
MT001,DC007,144,137,156,97,143,139,173,140,223,190
MT004,DC007,104,116,127,199,113,105,134,216,177,147
MT005,DC007,164,126,127,204,204,212,129,211,237,178
MT007,DC007,138,92,176,120,136,121,149,158,175,200
MT008,DC007,132,197,235,242,120,167,127,145,187,144
MT009,DC007,121,101,172,175,159,176,146,168,125,123
MT010,DC007,109,122,117,165,137,145,128,163,125,167
MT011,DC007,128,117,183,161,117,196,202,131,196,116
MT013,DC007,115,169,179,116,149,190,150,131,188,114
MT014,DC007,163,115,148,152,210,184,148,142,165,183
MT016,DC007,138,133,104,159,155,115,148,187,121,103
MT017,DC007,234,197,140,153,249,191,207,119,180,196
MT018,DC007,98,184,136,177,93,198,153,184,138,178
MT019,DC007,210,143,139,132,167,111,154,114,224,178
MT020,DC007,135,192,199,166,166,157,146,182,209,194
MT025,DC007,185,155,104,138,167,117,184,102,167,185
MT026,DC007,141,149,219,127,118,127,129,146,193,163
MT028,DC007,206,159,170,97,153,130,167,156,106,123
MT029,DC007,166,173,90,157,138,197,200,180,158,136
MT030,DC007,132,192,138,169,120,165,133,136,170,210
MT031,DC007,127,217,145,144,89,167,231,210,172,157
MT032,DC007,110,118,158,109,192,227,152,155,175,194
MT033,DC007,174,184,218,174,164,127,146,166,210,140
MT035,DC007,147,137,144,146,157,109,244,142,157,138
MT036,DC007,163,124,145,176,174,198,97,187,111,111
MT021,DC007,393,590,338,718,548,522,640,589,803,440
MT023,DC007,399,698,486,505,725,601,549,371,695,545
MT002,DC007,47,49,91,73,58,83,84,73,93,76
MT003,DC007,51,67,71,48,88,77,63,91,56,53
MT006,DC007,61,57,70,45,75,60,43,51,40,58
MT012,DC007,85,62,78,54,90,57,50,74,91,57
MT015,DC007,59,60,63,54,60,89,63,83,58,89
MT022,DC007,111,99,90,66,49,50,69,85,75,94
MT024,DC007,96,78,55,91,56,77,51,70,104,52
MT027,DC007,56,104,48,78,78,74,64,65,72,87
MT034,DC007,58,58,98,87,61,57,61,48,53,73
MT001,DC008,159,108,178,176,154,125,153,117,132,126
MT004,DC008,217,127,173,184,128,159,99,204,177,136
MT005,DC008,138,158,120,144,127,175,151,216,179,245
MT007,DC008,169,179,171,134,120,189,169,122,173,239
MT008,DC008,214,254,180,212,188,169,151,176,223,208
MT009,DC008,133,186,223,113,92,137,112,185,154,142
MT010,DC008,173,130,149,199,127,156,141,167,97,143
MT011,DC008,192,102,152,152,159,131,163,182,231,101
MT013,DC008,212,179,242,151,168,102,139,120,175,121
MT014,DC008,120,173,112,192,151,259,177,237,239,155
MT016,DC008,187,134,249,186,224,197,182,214,146,107
MT017,DC008,99,166,148,132,183,212,134,137,163,156
MT018,DC008,110,180,177,121,154,200,201,228,151,156
MT019,DC008,259,129,176,252,126,186,173,127,173,131
MT020,DC008,189,241,224,104,215,134,189,211,139,138
MT025,DC008,159,177,152,124,118,117,144,163,170,197
MT026,DC008,128,158,84,221,180,169,211,187,237,133
MT028,DC008,99,154,161,179,132,145,138,112,209,110
MT029,DC008,138,192,159,151,210,156,162,139,224,144
MT030,DC008,141,144,100,210,98,165,129,127,132,166
MT031,DC008,95,158,159,166,193,130,243,212,195,131
MT032,DC008,119,200,171,157,141,141,144,111,111,182
MT033,DC008,177,134,120,162,159,125,205,120,195,138
MT035,DC008,138,131,147,175,223,92,96,147,102,232
MT036,DC008,179,188,135,212,158,221,138,192,133,134
MT021,DC008,804,627,476,498,623,372,504,436,295,733
MT023,DC008,579,436,598,569,362,629,594,411,474,507
MT002,DC008,65,113,66,94,128,65,77,134,64,48
MT003,DC008,62,58,90,59,97,78,100,89,80,105
MT006,DC008,63,122,90,55,77,106,84,93,54,101
MT012,DC008,92,63,104,110,77,96,76,108,93,70
MT015,DC008,105,60,55,81,61,74,71,92,111,93
MT022,DC008,63,87,98,120,120,72,93,96,79,126
MT024,DC008,84,73,73,92,128,53,89,75,90,113
MT027,DC008,122,119,68,110,88,108,95,138,103,98
MT034,DC008,58,49,64,113,82,50,95,82,75,72
MT001,DC009,112,161,91,183,120,108,164,109,136,103
MT004,DC009,124,144,133,139,90,112,131,209,168,166
MT005,DC009,86,116,170,134,90,160,177,178,106,182
MT007,DC009,119,192,137,95,141,128,184,101,92,149
MT008,DC009,138,137,115,160,110,163,112,193,141,130
MT009,DC009,125,92,157,84,164,83,141,133,104,128
MT010,DC009,97,209,173,154,126,181,122,136,148,98
MT011,DC009,142,110,86,144,153,133,123,197,126,112
MT013,DC009,90,184,134,109,154,127,183,144,119,116
MT014,DC009,94,112,90,105,179,161,144,113,86,174
MT016,DC009,108,153,183,142,122,109,104,78,110,135
MT017,DC009,166,119,141,89,72,178,141,125,181,151
MT018,DC009,133,133,102,125,142,103,157,165,145,156
MT019,DC009,108,89,159,108,188,151,109,117,131,92
MT020,DC009,194,89,92,120,162,218,92,107,156,158
MT025,DC009,145,125,72,132,123,159,125,82,208,120
MT026,DC009,121,136,213,93,132,117,117,108,161,131
MT028,DC009,212,116,101,136,81,141,181,146,215,104
MT029,DC009,190,92,110,141,96,106,170,148,120,199
MT030,DC009,152,211,94,174,143,92,131,103,143,151
MT031,DC009,111,84,98,148,145,155,140,97,116,167
MT032,DC009,163,141,106,164,123,207,92,119,93,111
MT033,DC009,117,167,99,132,133,139,101,174,206,186
MT035,DC009,142,118,180,167,105,119,74,173,139,177
MT036,DC009,187,186,90,135,172,122,116,178,124,136
MT021,DC009,466,313,372,416,405,444,438,577,416,361
MT023,DC009,272,559,386,401,399,523,553,696,304,418
MT002,DC009,129,51,81,66,103,70,105,50,88,72
MT003,DC009,83,94,75,85,107,78,92,67,67,73
MT006,DC009,126,68,85,68,92,81,109,113,61,113
MT012,DC009,89,70,85,116,72,90,76,111,105,62
MT015,DC009,112,101,79,60,109,90,110,51,63,61
MT022,DC009,115,121,73,124,56,125,80,71,75,64
MT024,DC009,94,126,56,52,90,103,93,79,48,44
MT027,DC009,102,108,91,61,72,116,98,73,83,72
MT034,DC009,80,106,96,49,105,68,77,82,79,105
MT001,DC010,153,197,189,246,149,204,201,240,174,162
MT004,DC010,280,236,274,168,125,143,204,292,180,184
MT005,DC010,249,161,275,242,316,274,191,204,146,242
MT007,DC010,242,155,148,197,184,222,302,175,236,179
MT008,DC010,126,153,243,304,293,295,272,184,180,239
MT009,DC010,277,118,179,154,209,269,211,235,159,194
MT010,DC010,173,221,168,201,177,176,130,185,171,210
MT011,DC010,196,146,234,181,333,285,286,130,233,135
MT013,DC010,189,261,212,188,172,275,212,235,240,275
MT014,DC010,171,240,334,144,263,214,247,155,224,205
MT016,DC010,263,250,198,209,219,227,263,222,211,319
MT017,DC010,167,231,315,223,204,337,152,285,200,252
MT018,DC010,181,183,140,200,196,187,150,202,262,163
MT019,DC010,117,159,196,182,125,256,275,195,152,183
MT020,DC010,275,290,167,135,252,218,177,168,243,280
MT025,DC010,230,120,135,276,259,187,169,175,266,200
MT026,DC010,179,180,124,254,266,240,226,181,248,245
MT028,DC010,217,135,196,189,198,124,244,185,141,197
MT029,DC010,171,221,206,125,293,250,157,189,185,182
MT030,DC010,211,194,209,262,186,172,189,258,185,153
MT031,DC010,166,284,161,197,311,269,156,203,275,168
MT032,DC010,197,184,161,262,200,253,172,235,177,180
MT033,DC010,241,304,224,153,160,168,166,230,182,240
MT035,DC010,164,217,181,309,189,268,180,227,203,259
MT036,DC010,123,141,199,174,111,246,167,189,219,223
MT021,DC010,661,653,735,666,652,566,711,680,593,852
MT023,DC010,931,545,997,896,526,775,596,492,599,492
MT002,DC010,68,62,48,55,68,52,51,55,74,43
MT003,DC010,69,77,59,61,78,60,53,54,47,62
MT006,DC010,58,53,57,54,91,43,58,62,75,69
MT012,DC010,93,49,64,43,63,62,47,49,60,82
MT015,DC010,48,61,50,43,42,84,61,48,76,48
MT022,DC010,44,50,80,56,85,54,77,44,85,64
MT024,DC010,65,65,74,61,64,58,78,70,36,55
MT027,DC010,55,62,57,49,50,77,54,44,41,54
MT034,DC010,35,45,100,66,66,52,58,70,80,76
MT001,SF001,68,83,75,134,107,78,85,54,72,96
MT004,SF001,77,82,79,128,60,86,65,125,107,70
MT005,SF001,61,111,76,88,98,84,101,63,89,108
MT007,SF001,95,60,123,141,57,55,94,83,94,78
MT008,SF001,73,61,84,85,118,121,64,104,66,79
MT009,SF001,55,69,84,76,88,92,57,64,112,74
MT010,SF001,56,99,82,70,108,55,61,78,61,75
MT011,SF001,58,80,95,100,79,71,47,85,66,103
MT013,SF001,106,138,59,84,55,85,101,91,91,96
MT014,SF001,94,70,109,117,102,116,82,65,101,124
MT016,SF001,116,75,64,110,103,72,67,53,84,75
MT017,SF001,59,105,54,111,67,74,125,59,45,134
MT018,SF001,59,93,69,82,87,87,59,103,126,108
MT019,SF001,96,85,85,75,124,56,99,117,85,98
MT020,SF001,81,82,93,133,89,78,80,77,102,94
MT025,SF001,123,55,77,105,107,79,47,82,73,117
MT026,SF001,66,52,95,97,76,75,111,71,85,61
MT028,SF001,68,66,104,98,99,77,84,116,51,86
MT029,SF001,81,122,83,68,66,81,94,128,89,116
MT030,SF001,76,93,92,111,87,109,102,122,84,72
MT031,SF001,100,69,69,81,79,117,86,83,67,92
MT032,SF001,75,92,57,93,68,81,52,86,68,99
MT033,SF001,63,88,55,120,66,135,131,78,137,95
MT035,SF001,90,86,89,86,63,84,84,104,90,78
MT036,SF001,103,126,114,109,108,85,62,94,95,108
MT021,SF001,243,161,333,386,210,223,233,333,215,240
MT023,SF001,324,310,236,294,354,256,323,315,214,163
MT002,SF001,47,58,48,70,91,99,80,86,60,49
MT003,SF001,64,56,52,94,79,67,46,64,56,88
MT006,SF001,79,50,64,47,58,65,92,89,61,79
MT012,SF001,65,51,64,63,70,77,59,42,97,76
MT015,SF001,80,64,79,39,80,47,39,42,89,54
MT022,SF001,62,44,54,58,85,80,64,61,95,56
MT024,SF001,65,71,64,54,79,69,76,49,48,67
MT027,SF001,69,64,40,74,56,79,65,84,35,43
MT034,SF001,49,70,37,60,57,55,74,74,72,86
MT001,SF002,92,82,53,77,39,51,82,74,85,64
MT004,SF002,86,95,68,74,74,114,67,71,116,103
MT005,SF002,53,89,102,79,84,44,80,109,107,69
MT007,SF002,88,93,71,79,48,109,51,56,68,48
MT008,SF002,107,68,60,62,94,84,55,70,58,55
MT009,SF002,40,77,69,76,74,119,67,86,79,91
MT010,SF002,108,59,90,81,83,59,58,82,72,80
MT011,SF002,61,75,39,108,73,66,61,94,77,87
MT013,SF002,93,103,77,84,98,52,85,55,62,68
MT014,SF002,73,67,64,60,114,80,84,68,57,55
MT016,SF002,104,62,86,87,68,64,71,49,65,64
MT017,SF002,67,72,69,86,109,79,65,85,59,77
MT018,SF002,66,87,72,84,40,82,59,107,61,84
MT019,SF002,80,73,72,109,85,79,45,69,68,105
MT020,SF002,57,64,93,64,101,87,116,70,43,49
MT025,SF002,117,66,69,77,93,67,75,117,54,96
MT026,SF002,71,67,71,83,49,49,81,90,69,66
MT028,SF002,68,105,45,70,91,60,93,55,99,98
MT029,SF002,77,43,58,105,75,64,82,84,76,91
MT030,SF002,82,56,74,101,60,78,65,47,48,50
MT031,SF002,79,69,46,82,51,77,81,71,53,47
MT032,SF002,59,83,55,53,76,55,51,70,68,70
MT033,SF002,71,52,75,77,60,92,65,60,89,73
MT035,SF002,66,86,66,67,94,45,65,45,105,77
MT036,SF002,68,57,56,97,105,58,93,76,73,63
MT021,SF002,230,256,248,294,175,140,193,321,195,161
MT023,SF002,244,264,293,193,198,158,275,339,288,218
MT002,SF002,38,75,52,59,41,66,37,54,56,47
MT003,SF002,32,57,39,40,64,54,71,26,45,29
MT006,SF002,67,37,42,39,54,42,55,34,41,45
MT012,SF002,53,37,44,55,56,48,50,66,31,39
MT015,SF002,57,33,53,55,31,30,35,33,53,44
MT022,SF002,53,37,70,46,41,67,44,66,31,52
MT024,SF002,48,40,46,63,42,56,54,47,59,36
MT027,SF002,32,64,46,50,47,52,46,38,32,59
MT034,SF002,34,51,39,72,39,43,31,51,33,31
MT001,SF003,75,103,60,116,57,73,77,58,76,94
MT004,SF003,59,132,72,110,81,55,95,64,68,83
MT005,SF003,76,55,83,82,87,94,65,112,55,60
MT007,SF003,109,50,72,87,105,69,117,87,77,128
MT008,SF003,90,56,90,56,81,60,111,83,104,81
MT009,SF003,70,101,67,74,73,94,84,76,88,76
MT010,SF003,72,91,73,66,63,101,103,60,71,57
MT011,SF003,79,130,80,82,70,82,81,82,57,63
MT013,SF003,68,95,103,75,84,76,113,74,81,95
MT014,SF003,129,57,78,108,85,62,79,128,58,69
MT016,SF003,76,83,58,60,83,75,51,117,77,73
MT017,SF003,45,104,81,55,67,95,85,81,92,104
MT018,SF003,60,51,74,114,82,67,65,76,90,62
MT019,SF003,118,112,71,98,65,68,66,80,59,96
MT020,SF003,92,88,71,125,58,122,66,88,93,75
MT025,SF003,54,74,69,61,73,88,71,105,73,89
MT026,SF003,80,84,79,77,74,131,75,123,75,123
MT028,SF003,80,79,108,123,99,79,75,62,52,94
MT029,SF003,54,102,67,98,70,117,72,59,120,96
MT030,SF003,87,74,114,117,73,52,121,112,79,85
MT031,SF003,75,96,77,76,95,76,85,134,55,109
MT032,SF003,75,91,82,106,125,103,61,75,67,80
MT033,SF003,114,61,76,77,59,87,65,59,68,111
MT035,SF003,61,56,99,65,63,54,79,63,105,126
MT036,SF003,61,74,68,59,82,67,84,79,76,81
MT021,SF003,181,231,107,152,149,141,144,175,176,185
MT023,SF003,238,198,212,182,213,296,179,158,179,169
MT002,SF003,77,52,79,45,65,65,55,64,52,36
MT003,SF003,46,52,93,81,58,42,61,64,68,59
MT006,SF003,71,53,105,58,58,47,61,76,58,96
MT012,SF003,69,51,77,37,95,67,65,39,52,68
MT015,SF003,58,48,67,46,65,35,59,56,60,65
MT022,SF003,53,68,87,57,47,48,55,72,71,70
MT024,SF003,45,68,53,62,51,48,63,41,61,78
MT027,SF003,77,104,60,56,54,75,106,72,99,60
MT034,SF003,56,49,50,79,56,58,51,80,71,64
MT001,SF004,79,67,101,62,68,74,70,81,66,77
MT004,SF004,55,75,40,47,64,98,46,64,49,52
MT005,SF004,54,50,62,76,61,90,76,59,40,55
MT007,SF004,91,83,57,57,107,59,56,54,69,82
MT008,SF004,57,62,86,95,83,42,76,86,76,40
MT009,SF004,78,56,79,74,50,64,75,85,63,68
MT010,SF004,79,87,79,49,96,66,39,65,61,48
MT011,SF004,70,81,41,40,73,100,52,58,82,65
MT013,SF004,46,66,87,57,102,78,68,59,57,78
MT014,SF004,70,62,96,71,58,56,79,62,59,55
MT016,SF004,43,54,56,88,46,94,60,48,55,90
MT017,SF004,66,52,94,48,75,62,59,47,103,42
MT018,SF004,57,77,77,36,42,77,75,37,90,55
MT019,SF004,46,53,73,67,46,92,74,53,57,96
MT020,SF004,48,60,80,92,55,73,66,85,97,81
MT025,SF004,72,64,80,84,56,55,59,59,74,75
MT026,SF004,47,93,53,53,67,61,63,78,44,54
MT028,SF004,66,57,53,72,72,38,57,91,45,83
MT029,SF004,54,44,68,38,46,76,53,42,69,72
MT030,SF004,56,72,86,70,70,94,57,65,59,40
MT031,SF004,60,73,86,67,89,77,73,74,50,69
MT032,SF004,53,57,55,63,49,89,68,83,75,74
MT033,SF004,66,49,56,60,62,87,52,73,55,76
MT035,SF004,74,41,72,46,86,86,70,48,49,37
MT036,SF004,50,46,69,69,53,68,70,74,76,54
MT021,SF004,282,506,440,408,289,495,416,306,388,248
MT023,SF004,365,378,393,255,290,408,200,455,179,182
